Product,Price_USD,Target,Notes
Assembled Tower (Model B),110,Homeowners,Complete unit tested and shipped
Assembled Flat Panel (Model A),45,Sliding windows,Budget option for any window type
Replacement Water System,15,Verified owners,Most common failure every 2-3 years
Replacement Stage 1-2 Array,18,Verified owners,Heat cycling wear
Replacement Stage 3-4 Array,20,Verified owners,Heat cycling wear
Replacement Stage 5-6 Array,22,Verified owners,Heat cycling wear
Replacement Top Cap,18,Verified owners,UV exposure rare
Replacement Base Frame,25,Verified owners,Structural rare
Replacement Side Panel,15,Verified owners,Impact damage rare
Complete Rebuild Kit,85,Verified owners,All 6 stages + water + cap for major refresh
